[ 2017-06-22T12:16:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T12:16:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000256s ]
[ 2017-06-22T12:16:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000282s ]
[ 2017-06-22T12:16:03+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T12:16:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T12:16:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000120s ]
[ 2017-06-22T12:16:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000132s ]
[ 2017-06-22T12:16:28+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T12:16:28+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000268s ]
[ 2017-06-22T12:16:28+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000296s ]
[ 2017-06-22T12:16:28+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T12:16:28+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T12:16:28+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000128s ]
[ 2017-06-22T12:16:28+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000141s ]
[ 2017-06-22T12:17:10+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T12:17:10+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000264s ]
[ 2017-06-22T12:17:10+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000289s ]
[ 2017-06-22T12:17:10+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T12:17:10+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T12:17:10+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000127s ]
[ 2017-06-22T12:17:10+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000140s ]
[ 2017-06-22T12:18:01+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T12:18:01+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000263s ]
[ 2017-06-22T12:18:01+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000289s ]
[ 2017-06-22T12:18:01+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T12:18:01+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T12:18:01+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000126s ]
[ 2017-06-22T12:18:01+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000139s ]
[ 2017-06-22T12:19:26+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T12:19:26+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000274s ]
[ 2017-06-22T12:19:26+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000302s ]
[ 2017-06-22T12:19:26+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T12:19:26+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T12:19:26+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000139s ]
[ 2017-06-22T12:19:26+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000154s ]
[ 2017-06-22T12:22:09+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T12:22:09+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000680s ]
[ 2017-06-22T12:22:09+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000731s ]
[ 2017-06-22T12:22:09+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T12:22:09+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T12:22:09+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000422s ]
[ 2017-06-22T12:22:09+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000443s ]
[ 2017-06-22T13:26:13+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T13:26:13+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000541s ]
[ 2017-06-22T13:26:13+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000575s ]
[ 2017-06-22T13:26:13+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T13:26:13+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T13:26:13+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000357s ]
[ 2017-06-22T13:26:13+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000379s ]
[ 2017-06-22T13:36:27+08:00 ] /mb_oa/index.php/Register/register | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T13:36:27+08:00 ] /mb_oa/index.php/Register/register | DEBUG: Run CheckRoute Behavior [ RunTime:0.000503s ]
[ 2017-06-22T13:36:27+08:00 ] /mb_oa/index.php/Register/register | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000540s ]
[ 2017-06-22T13:36:27+08:00 ] /mb_oa/index.php/Register/register | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T13:36:27+08:00 ] /mb_oa/index.php/Register/register | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T13:36:27+08:00 ] /mb_oa/index.php/Register/register | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000364s ]
[ 2017-06-22T13:36:27+08:00 ] /mb_oa/index.php/Register/register | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000386s ]
[ 2017-06-22T13:36:27+08:00 ] /mb_oa/index.php/Register/register | NOTIC: [8] Undefined index: mobile RegisterAction.class.php 第 15 行.
[ 2017-06-22T13:36:27+08:00 ] /mb_oa/index.php/Register/register | NOTIC: [8] Undefined index: identity RegisterAction.class.php 第 16 行.
[ 2017-06-22T13:36:27+08:00 ] /mb_oa/index.php/Register/register | NOTIC: [8] Undefined index: passworld RegisterAction.class.php 第 17 行.
[ 2017-06-22T13:36:37+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --START--
[ 2017-06-22T13:36:37+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckRoute Behavior [ RunTime:0.000444s ]
[ 2017-06-22T13:36:37+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000493s ]
[ 2017-06-22T13:36:37+08:00 ] /mb_oa/index.php/register/register | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-22T13:36:37+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-22T13:36:37+08:00 ] /mb_oa/index.php/register/register | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000147s ]
[ 2017-06-22T13:36:37+08:00 ] /mb_oa/index.php/register/register | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000159s ]
[ 2017-06-22T13:36:37+08:00 ] /mb_oa/index.php/register/register | NOTIC: [8] Undefined index: mobile registerAction.class.php 第 15 行.
