[ 2017-06-21T18:43:31+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000156s ]
[ 2017-06-21T18:43:31+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | NOTIC: [8] Undefined index: mobile registerAction.class.php 第 15 行.
[ 2017-06-21T18:43:31+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | NOTIC: [8] Undefined index: identity registerAction.class.php 第 16 行.
[ 2017-06-21T18:43:31+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | NOTIC: [8] Undefined index: passworld registerAction.class.php 第 17 行.
[ 2017-06-21T18:44:49+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | DEBUG: Tag[ route_check ] --START--
[ 2017-06-21T18:44:49+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | DEBUG: Run CheckRoute Behavior [ RunTime:0.000279s ]
[ 2017-06-21T18:44:49+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000315s ]
[ 2017-06-21T18:44:49+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-21T18:44:49+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-21T18:44:49+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000132s ]
[ 2017-06-21T18:44:49+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000145s ]
[ 2017-06-21T18:44:49+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | NOTIC: [8] Undefined index: mobile registerAction.class.php 第 15 行.
[ 2017-06-21T18:44:49+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | NOTIC: [8] Undefined index: identity registerAction.class.php 第 16 行.
[ 2017-06-21T18:44:49+08:00 ] /mb_oa/index.php/register/register/mobile/111/identity/dddd/passworld/1111 | NOTIC: [8] Undefined index: passworld registerAction.class.php 第 17 行.
