[ 2017-06-20T16:18:38+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [8] Undefined index: m IndexAction.class.php 第 10 行.
[ 2017-06-20T16:18:38+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [8] Undefined index: a IndexAction.class.php 第 11 行.
[ 2017-06-20T16:19:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:19:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckRoute Behavior [ RunTime:0.000280s ]
[ 2017-06-20T16:19:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000306s ]
[ 2017-06-20T16:19:03+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:19:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:19:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000138s ]
[ 2017-06-20T16:19:03+08:00 ] /mb_oa/index.php/Index/xiaobei | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000152s ]
[ 2017-06-20T16:19:03+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [8] Undefined index: moudle IndexAction.class.php 第 10 行.
[ 2017-06-20T16:19:03+08:00 ] /mb_oa/index.php/Index/xiaobei | NOTIC: [8] Undefined index: action IndexAction.class.php 第 11 行.
[ 2017-06-20T16:19:16+08:00 ] /mb_oa/index.php/Index/xiaobei/model/hehe | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:19:16+08:00 ] /mb_oa/index.php/Index/xiaobei/model/hehe | DEBUG: Run CheckRoute Behavior [ RunTime:0.000258s ]
[ 2017-06-20T16:19:16+08:00 ] /mb_oa/index.php/Index/xiaobei/model/hehe | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000283s ]
[ 2017-06-20T16:19:16+08:00 ] /mb_oa/index.php/Index/xiaobei/model/hehe | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:19:16+08:00 ] /mb_oa/index.php/Index/xiaobei/model/hehe | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:19:16+08:00 ] /mb_oa/index.php/Index/xiaobei/model/hehe | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000132s ]
[ 2017-06-20T16:19:16+08:00 ] /mb_oa/index.php/Index/xiaobei/model/hehe | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000145s ]
[ 2017-06-20T16:19:16+08:00 ] /mb_oa/index.php/Index/xiaobei/model/hehe | NOTIC: [8] Undefined index: moudle IndexAction.class.php 第 10 行.
[ 2017-06-20T16:19:16+08:00 ] /mb_oa/index.php/Index/xiaobei/model/hehe | NOTIC: [8] Undefined index: action IndexAction.class.php 第 11 行.
[ 2017-06-20T16:19:29+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:19:29+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe | DEBUG: Run CheckRoute Behavior [ RunTime:0.000265s ]
[ 2017-06-20T16:19:29+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000296s ]
[ 2017-06-20T16:19:29+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:19:29+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe | DEBUG: Tag[ app_begin ] --START--
[ 2017-06-20T16:19:29+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe | DEBUG: Run CheckTemplate Behavior [ RunTime:0.000123s ]
[ 2017-06-20T16:19:29+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe | DEBUG: Tag[ app_begin ] --END-- [ RunTime:0.000136s ]
[ 2017-06-20T16:19:29+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe | NOTIC: [8] Undefined index: moudle IndexAction.class.php 第 10 行.
[ 2017-06-20T16:19:29+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe | NOTIC: [8] Undefined index: action IndexAction.class.php 第 11 行.
[ 2017-06-20T16:20:25+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Tag[ route_check ] --START--
[ 2017-06-20T16:20:25+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Run CheckRoute Behavior [ RunTime:0.000433s ]
[ 2017-06-20T16:20:25+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Tag[ route_check ] --END-- [ RunTime:0.000460s ]
[ 2017-06-20T16:20:25+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 111 行.
[ 2017-06-20T16:20:25+08:00 ] /mb_oa/index.php/Index/xiaobei/modle/hehe.html | DEBUG: Tag[ app_begin ] --START--
